| # | team | lambdaman1 | lambdaman2 | lambdaman3 | lambdaman4 | lambdaman5 | lambdaman6 | lambdaman7 | lambdaman8 | lambdaman9 | lambdaman10 | lambdaman11 | lambdaman12 | lambdaman13 | lambdaman14 | lambdaman15 | lambdaman16 | lambdaman17 | lambdaman18 | lambdaman19 | lambdaman20 | lambdaman21 |
| 210 | max-theht-xam |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | Sha90w |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | Nt4fVr8KeE2na3m |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | p-coder |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | team |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | mistake |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | Briareos |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | Tetromino |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | Nolan |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | YbB |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | gdb |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 210 | szn |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

You scored some points for looking at the scoreboard!

